"Grapheme","Frequency","Codepoint","UnicodeName"
"a",2358,"U+0061","LATIN SMALL LETTER A"
"n",1386,"U+006E","LATIN SMALL LETTER N"
"i",771,"U+0069","LATIN SMALL LETTER I"
"y",707,"U+0079","LATIN SMALL LETTER Y"
"o",681,"U+006F","LATIN SMALL LETTER O"
"r",486,"U+0072","LATIN SMALL LETTER R"
"m",394,"U+006D","LATIN SMALL LETTER M"
"h",382,"U+0068","LATIN SMALL LETTER H"
"e",378,"U+0065","LATIN SMALL LETTER E"
"t",374,"U+0074","LATIN SMALL LETTER T"
"s",285,"U+0073","LATIN SMALL LETTER S"
"f",265,"U+0066","LATIN SMALL LETTER F"
"l",216,"U+006C","LATIN SMALL LETTER L"
"-",196,"U+002D","HYPHEN-MINUS"
"k",192,"U+006B","LATIN SMALL LETTER K"
"z",174,"U+007A","LATIN SMALL LETTER Z"
"d",149,"U+0064","LATIN SMALL LETTER D"
"'",145,"U+0027","APOSTROPHE"
"v",139,"U+0076","LATIN SMALL LETTER V"
"N",115,"U+004E","LATIN CAPITAL LETTER N"
"A",102,"U+0041","LATIN CAPITAL LETTER A"
"b",98,"U+0062","LATIN SMALL LETTER B"
"p",95,"U+0070","LATIN SMALL LETTER P"
".",81,"U+002E","FULL STOP"
"I",71,"U+0049","LATIN CAPITAL LETTER I"
"j",61,"U+006A","LATIN SMALL LETTER J"
"F",55,"U+0046","LATIN CAPITAL LETTER F"
",",51,"U+002C","COMMA"
"H",40,"U+0048","LATIN CAPITAL LETTER H"
"M",35,"U+004D","LATIN CAPITAL LETTER M"
"Y",32,"U+0059","LATIN CAPITAL LETTER Y"
"D",31,"U+0044","LATIN CAPITAL LETTER D"
"T",19,"U+0054","LATIN CAPITAL LETTER T"
"1",14,"U+0031","DIGIT ONE"
"2",13,"U+0032","DIGIT TWO"
"g",11,"U+0067","LATIN SMALL LETTER G"
"Z",8,"U+005A","LATIN CAPITAL LETTER Z"
";",7,"U+003B","SEMICOLON"
"O",7,"U+004F","LATIN CAPITAL LETTER O"
"R",6,"U+0052","LATIN CAPITAL LETTER R"
"0",4,"U+0030","DIGIT ZERO"
"3",4,"U+0033","DIGIT THREE"
"4",4,"U+0034","DIGIT FOUR"
"8",4,"U+0038","DIGIT EIGHT"
"9",4,"U+0039","DIGIT NINE"
"S",4,"U+0053","LATIN CAPITAL LETTER S"
"5",3,"U+0035","DIGIT FIVE"
"6",3,"U+0036","DIGIT SIX"
"7",3,"U+0037","DIGIT SEVEN"
"B",3,"U+0042","LATIN CAPITAL LETTER B"
"E",3,"U+0045","LATIN CAPITAL LETTER E"
"L",3,"U+004C","LATIN CAPITAL LETTER L"
":",2,"U+003A","COLON"
"""",2,"U+0022","QUOTATION MARK"
"K",2,"U+004B","LATIN CAPITAL LETTER K"
"c",1,"U+0063","LATIN SMALL LETTER C"
"P",1,"U+0050","LATIN CAPITAL LETTER P"
"V",1,"U+0056","LATIN CAPITAL LETTER V"
