"Grapheme","Frequency","Codepoint","UnicodeName"
"k",247,"U+006B","LATIN SMALL LETTER K"
"a",201,"U+0061","LATIN SMALL LETTER A"
"e",170,"U+0065","LATIN SMALL LETTER E"
"h",124,"U+0068","LATIN SMALL LETTER H"
"o",119,"U+006F","LATIN SMALL LETTER O"
"-",118,"U+002D","HYPHEN-MINUS"
"t",99,"U+0074","LATIN SMALL LETTER T"
"w",79,"U+0077","LATIN SMALL LETTER W"
"l",76,"U+006C","LATIN SMALL LETTER L"
"y",76,"U+0079","LATIN SMALL LETTER Y"
"i",69,"U+0069","LATIN SMALL LETTER I"
"n",62,"U+006E","LATIN SMALL LETTER N"
"u",53,"U+0075","LATIN SMALL LETTER U"
",",51,"U+002C","COMMA"
"m",51,"U+006D","LATIN SMALL LETTER M"
"s",47,"U+0073","LATIN SMALL LETTER S"
"p",44,"U+0070","LATIN SMALL LETTER P"
".",32,"U+002E","FULL STOP"
"'",18,"U+0027","APOSTROPHE"
"v",16,"U+0076","LATIN SMALL LETTER V"
"j",8,"U+006A","LATIN SMALL LETTER J"
"A",5,"U+0041","LATIN CAPITAL LETTER A"
"K",4,"U+004B","LATIN CAPITAL LETTER K"
"g",3,"U+0067","LATIN SMALL LETTER G"
"O",3,"U+004F","LATIN CAPITAL LETTER O"
"P",3,"U+0050","LATIN CAPITAL LETTER P"
"W",3,"U+0057","LATIN CAPITAL LETTER W"
"E",2,"U+0045","LATIN CAPITAL LETTER E"
"Y",2,"U+0059","LATIN CAPITAL LETTER Y"
"H",1,"U+0048","LATIN CAPITAL LETTER H"
"I",1,"U+0049","LATIN CAPITAL LETTER I"
"J",1,"U+004A","LATIN CAPITAL LETTER J"
"L",1,"U+004C","LATIN CAPITAL LETTER L"
