"Grapheme","Frequency","Codepoint","UnicodeName"
"a",975,"U+0061","LATIN SMALL LETTER A"
"n",941,"U+006E","LATIN SMALL LETTER N"
"d",767,"U+0064","LATIN SMALL LETTER D"
"o",759,"U+006F","LATIN SMALL LETTER O"
"i",734,"U+0069","LATIN SMALL LETTER I"
"u",734,"U+0075","LATIN SMALL LETTER U"
"b",592,"U+0062","LATIN SMALL LETTER B"
"t",577,"U+0074","LATIN SMALL LETTER T"
"x",576,"U+0078","LATIN SMALL LETTER X"
"h",517,"U+0068","LATIN SMALL LETTER H"
"e",480,"U+0065","LATIN SMALL LETTER E"
"s",458,"U+0073","LATIN SMALL LETTER S"
"f",445,"U+0066","LATIN SMALL LETTER F"
"l",408,"U+006C","LATIN SMALL LETTER L"
"g",377,"U+0067","LATIN SMALL LETTER G"
"z",317,"U+007A","LATIN SMALL LETTER Z"
"y",180,"U+0079","LATIN SMALL LETTER Y"
",",148,"U+002C","COMMA"
"k",121,"U+006B","LATIN SMALL LETTER K"
"r",105,"U+0072","LATIN SMALL LETTER R"
"j",101,"U+006A","LATIN SMALL LETTER J"
"m",98,"U+006D","LATIN SMALL LETTER M"
"c",84,"U+0063","LATIN SMALL LETTER C"
".",60,"U+002E","FULL STOP"
"(",33,"U+0028","LEFT PARENTHESIS"
")",33,"U+0029","RIGHT PARENTHESIS"
"q",32,"U+0071","LATIN SMALL LETTER Q"
"T",31,"U+0054","LATIN CAPITAL LETTER T"
"p",29,"U+0070","LATIN SMALL LETTER P"
"C",28,"U+0043","LATIN CAPITAL LETTER C"
"A",17,"U+0041","LATIN CAPITAL LETTER A"
"D",15,"U+0044","LATIN CAPITAL LETTER D"
"N",14,"U+004E","LATIN CAPITAL LETTER N"
";",13,"U+003B","SEMICOLON"
"w",11,"U+0077","LATIN SMALL LETTER W"
"B",9,"U+0042","LATIN CAPITAL LETTER B"
"H",8,"U+0048","LATIN CAPITAL LETTER H"
"L",8,"U+004C","LATIN CAPITAL LETTER L"
"v",8,"U+0076","LATIN SMALL LETTER V"
"I",5,"U+0049","LATIN CAPITAL LETTER I"
"1",4,"U+0031","DIGIT ONE"
"J",4,"U+004A","LATIN CAPITAL LETTER J"
"S",3,"U+0053","LATIN CAPITAL LETTER S"
"Z",3,"U+005A","LATIN CAPITAL LETTER Z"
"2",2,"U+0032","DIGIT TWO"
"E",2,"U+0045","LATIN CAPITAL LETTER E"
"K",2,"U+004B","LATIN CAPITAL LETTER K"
"O",2,"U+004F","LATIN CAPITAL LETTER O"
"R",2,"U+0052","LATIN CAPITAL LETTER R"
"]",1,"U+005D","RIGHT SQUARE BRACKET"
"0",1,"U+0030","DIGIT ZERO"
"4",1,"U+0034","DIGIT FOUR"
"7",1,"U+0037","DIGIT SEVEN"
"8",1,"U+0038","DIGIT EIGHT"
"9",1,"U+0039","DIGIT NINE"
"U",1,"U+0055","LATIN CAPITAL LETTER U"
"X",1,"U+0058","LATIN CAPITAL LETTER X"
