"Grapheme","Frequency","Codepoint","UnicodeName"
"a",528,"U+0061","LATIN SMALL LETTER A"
"ˀ",406,"U+02C0","MODIFIER LETTER GLOTTAL STOP"
"j",345,"U+006A","LATIN SMALL LETTER J"
"y",339,"U+0079","LATIN SMALL LETTER Y"
"e",335,"U+0065","LATIN SMALL LETTER E"
"u",326,"U+0075","LATIN SMALL LETTER U"
"ʌ",313,"U+028C","LATIN SMALL LETTER TURNED V"
"k",301,"U+006B","LATIN SMALL LETTER K"
"i",291,"U+0069","LATIN SMALL LETTER I"
"m",255,"U+006D","LATIN SMALL LETTER M"
"o",251,"U+006F","LATIN SMALL LETTER O"
"t",232,"U+0074","LATIN SMALL LETTER T"
"n",176,"U+006E","LATIN SMALL LETTER N"
"s",173,"U+0073","LATIN SMALL LETTER S"
"p",153,"U+0070","LATIN SMALL LETTER P"
".",115,"U+002E","FULL STOP"
"w",96,"U+0077","LATIN SMALL LETTER W"
"ŋ",93,"U+014B","LATIN SMALL LETTER ENG"
"r",87,"U+0072","LATIN SMALL LETTER R"
"č",71,"U+010D","LATIN SMALL LETTER C WITH CARON"
"b",59,"U+0062","LATIN SMALL LETTER B"
"d",59,"U+0064","LATIN SMALL LETTER D"
",",56,"U+002C","COMMA"
"ȼ",53,"U+023C","LATIN SMALL LETTER C WITH STROKE"
"ñ",49,"U+00F1","LATIN SMALL LETTER N WITH TILDE"
"l",42,"U+006C","LATIN SMALL LETTER L"
"g",25,"U+0067","LATIN SMALL LETTER G"
"f",9,"U+0066","LATIN SMALL LETTER F"
"W",3,"U+0057","LATIN CAPITAL LETTER W"
"A",2,"U+0041","LATIN CAPITAL LETTER A"
"c",2,"U+0063","LATIN SMALL LETTER C"
"(",1,"U+0028","LEFT PARENTHESIS"
")",1,"U+0029","RIGHT PARENTHESIS"
"S",1,"U+0053","LATIN CAPITAL LETTER S"
"š",1,"U+0161","LATIN SMALL LETTER S WITH CARON"
"v",1,"U+0076","LATIN SMALL LETTER V"
